artist,track,album,album_name,album_type,album_date,album_tracks,album_pic,indexOf,genres,year,alphaname
Cannonball Adderley,Autumn Leaves,Somethin' Else (Rudy Van Gelder Edition),Somethin' Else (Rudy Van Gelder Edition),Album,1958,Autumn Leaves (10:59)/Love For Sale (07:04)/Somethin' Else (08:14)/One For Daddy-O (08:25)/Dancing In The Dark (04:07)/Bangoon (aka Alison's Uncle) (05:09),https://i.scdn.co/image/ab67616d00001e020f81ed1bf84b3585a8492d3d,0.0,Bebop/Cool Jazz/Hard Bop/Jazz/Jazz Blues/Soul Jazz,1958,"Adderley, Cannonball"
Cannonball Adderley,Love For Sale,Somethin' Else (Rudy Van Gelder Edition),Somethin' Else (Rudy Van Gelder Edition),Album,1958,Autumn Leaves (10:59)/Love For Sale (07:04)/Somethin' Else (08:14)/One For Daddy-O (08:25)/Dancing In The Dark (04:07)/Bangoon (aka Alison's Uncle) (05:09),https://i.scdn.co/image/ab67616d00001e020f81ed1bf84b3585a8492d3d,22.0,Bebop/Cool Jazz/Hard Bop/Jazz/Jazz Blues/Soul Jazz,1958,"Adderley, Cannonball"
Cannonball Adderley,Somethin' Else,Somethin' Else (Rudy Van Gelder Edition),Somethin' Else (Rudy Van Gelder Edition),Album,1958,Autumn Leaves (10:59)/Love For Sale (07:04)/Somethin' Else (08:14)/One For Daddy-O (08:25)/Dancing In The Dark (04:07)/Bangoon (aka Alison's Uncle) (05:09),https://i.scdn.co/image/ab67616d00001e020f81ed1bf84b3585a8492d3d,44.0,Bebop/Cool Jazz/Hard Bop/Jazz/Jazz Blues/Soul Jazz,1958,"Adderley, Cannonball"
Cannonball Adderley,One For Daddy-O,Somethin' Else (Rudy Van Gelder Edition),Somethin' Else (Rudy Van Gelder Edition),Album,1958,Autumn Leaves (10:59)/Love For Sale (07:04)/Somethin' Else (08:14)/One For Daddy-O (08:25)/Dancing In The Dark (04:07)/Bangoon (aka Alison's Uncle) (05:09),https://i.scdn.co/image/ab67616d00001e020f81ed1bf84b3585a8492d3d,67.0,Bebop/Cool Jazz/Hard Bop/Jazz/Jazz Blues/Soul Jazz,1958,"Adderley, Cannonball"
Cannonball Adderley,Dancing In The Dark,Somethin' Else (Rudy Van Gelder Edition),Somethin' Else (Rudy Van Gelder Edition),Album,1958,Autumn Leaves (10:59)/Love For Sale (07:04)/Somethin' Else (08:14)/One For Daddy-O (08:25)/Dancing In The Dark (04:07)/Bangoon (aka Alison's Uncle) (05:09),https://i.scdn.co/image/ab67616d00001e020f81ed1bf84b3585a8492d3d,91.0,Bebop/Cool Jazz/Hard Bop/Jazz/Jazz Blues/Soul Jazz,1958,"Adderley, Cannonball"
Cannonball Adderley,Bangoon (aka Alison's Uncle),Somethin' Else (Rudy Van Gelder Edition),Somethin' Else (Rudy Van Gelder Edition),Album,1958,Autumn Leaves (10:59)/Love For Sale (07:04)/Somethin' Else (08:14)/One For Daddy-O (08:25)/Dancing In The Dark (04:07)/Bangoon (aka Alison's Uncle) (05:09),https://i.scdn.co/image/ab67616d00001e020f81ed1bf84b3585a8492d3d,119.0,Bebop/Cool Jazz/Hard Bop/Jazz/Jazz Blues/Soul Jazz,1958,"Adderley, Cannonball"
Aerosmith,Mama Kin,Aerosmith,Aerosmith,Album,1973-01-05,Make It (03:40)/Somebody (03:45)/Dream On (04:27)/One Way Street (07:02)/Mama Kin (04:29)/Write Me a Letter (04:12)/Movin' Out (05:02)/Walkin' The Dog (03:13),https://i.scdn.co/image/ab67616d00001e02bbf0146981704a073405b6c2,73.0,Album Rock/Classic Rock/Hard Rock/Rock,1973,Aerosmith
Aerosmith,Let The Music Do The Talking,Done With Mirrors,Done With Mirrors,Album,1985-01-01,Let The Music Do The Talking (03:47)/My Fist Your Face (04:21)/Shame On You (03:20)/The Reason A Dog (04:12)/Shela (04:24)/Gypsy Boots (04:15)/She's On Fire (03:45)/The Hop (03:41)/Darkness (03:43),https://i.scdn.co/image/ab67616d00001e02000f937dd0db89b6e35c2758,0.0,Album Rock/Classic Rock/Hard Rock/Rock,1985,Aerosmith
Aerosmith,Train Kept a Rollin',Get Your Wings,Get Your Wings,Album,1974-03-15,Same Old Song and Dance (03:53)/Lord Of The Thighs (04:14)/Spaced (04:21)/Woman of the World (05:54)/S.O.S. (Too Bad) (02:51)/Train Kept a Rollin' (05:33)/Seasons of Wither (05:38)/Pandora's Box (05:44),https://i.scdn.co/image/ab67616d00001e02263ba11563649efef10f7642,126.0,Album Rock/Classic Rock/Hard Rock/Rock,1974,Aerosmith
Aerosmith,Heart's Done Time,Permanent Vacation,Permanent Vacation,Album,1987-01-01,Heart's Done Time (04:42)/Magic Touch (04:37)/Rag Doll (04:25)/Simoriah (03:22)/Dude (Looks Like A Lady) (04:25)/St. John (04:10)/Hangman Jury (05:33)/Girl Keeps Coming Apart (04:13)/Angel (05:08)/Permanent Vacation (04:49)/I'm Down (02:20)/The Movie (04:04),https://i.scdn.co/image/ab67616d00001e02a8a965df6a845b265ee19106,0.0,Album Rock/Classic Rock/Hard Rock/Rock,1987,Aerosmith
Aerosmith,Magic Touch,Permanent Vacation,Permanent Vacation,Album,1987-01-01,Heart's Done Time (04:42)/Magic Touch (04:37)/Rag Doll (04:25)/Simoriah (03:22)/Dude (Looks Like A Lady) (04:25)/St. John (04:10)/Hangman Jury (05:33)/Girl Keeps Coming Apart (04:13)/Angel (05:08)/Permanent Vacation (04:49)/I'm Down (02:20)/The Movie (04:04),https://i.scdn.co/image/ab67616d00001e02a8a965df6a845b265ee19106,26.0,Album Rock/Classic Rock/Hard Rock/Rock,1987,Aerosmith
Aerosmith,The Movie,Permanent Vacation,Permanent Vacation,Album,1987-01-01,Heart's Done Time (04:42)/Magic Touch (04:37)/Rag Doll (04:25)/Simoriah (03:22)/Dude (Looks Like A Lady) (04:25)/St. John (04:10)/Hangman Jury (05:33)/Girl Keeps Coming Apart (04:13)/Angel (05:08)/Permanent Vacation (04:49)/I'm Down (02:20)/The Movie (04:04),https://i.scdn.co/image/ab67616d00001e02a8a965df6a845b265ee19106,241.0,Album Rock/Classic Rock/Hard Rock/Rock,1987,Aerosmith
Aerosmith,Toys In The Attic,Toys In The Attic,Toys In The Attic,Album,1975-04-08,Toys In The Attic (03:05)/Uncle Salty (04:09)/Adam's Apple (04:33)/Walk This Way (03:40)/Big Ten Inch Record (02:15)/Sweet Emotion (04:34)/No More No More (04:34)/Round And Round (05:03)/You See Me Crying (05:11),https://i.scdn.co/image/ab67616d00001e028cffbbb7fe8645a486a85ea9,0.0,Album Rock/Classic Rock/Hard Rock/Rock,1975,Aerosmith
Aerosmith,Uncle Salty,Toys In The Attic,Toys In The Attic,Album,1975-04-08,Toys In The Attic (03:05)/Uncle Salty (04:09)/Adam's Apple (04:33)/Walk This Way (03:40)/Big Ten Inch Record (02:15)/Sweet Emotion (04:34)/No More No More (04:34)/Round And Round (05:03)/You See Me Crying (05:11),https://i.scdn.co/image/ab67616d00001e028cffbbb7fe8645a486a85ea9,26.0,Album Rock/Classic Rock/Hard Rock/Rock,1975,Aerosmith
Aerosmith,Adam's Apple,Toys In The Attic,Toys In The Attic,Album,1975-04-08,Toys In The Attic (03:05)/Uncle Salty (04:09)/Adam's Apple (04:33)/Walk This Way (03:40)/Big Ten Inch Record (02:15)/Sweet Emotion (04:34)/No More No More (04:34)/Round And Round (05:03)/You See Me Crying (05:11),https://i.scdn.co/image/ab67616d00001e028cffbbb7fe8645a486a85ea9,46.0,Album Rock/Classic Rock/Hard Rock/Rock,1975,Aerosmith
Aerosmith,Walk This Way,Toys In The Attic,Toys In The Attic,Album,1975-04-08,Toys In The Attic (03:05)/Uncle Salty (04:09)/Adam's Apple (04:33)/Walk This Way (03:40)/Big Ten Inch Record (02:15)/Sweet Emotion (04:34)/No More No More (04:34)/Round And Round (05:03)/You See Me Crying (05:11),https://i.scdn.co/image/ab67616d00001e028cffbbb7fe8645a486a85ea9,67.0,Album Rock/Classic Rock/Hard Rock/Rock,1975,Aerosmith
