artist,track,track_id,count,imgUrl,album,album_id,artist_id,album_name,album_type,album_date,album_tracks,album_pic,indexOf,genres
Djamel Laroussi,Kama toudine toudene - Acoustic Version,5JqevsqF2uzoLCvBIrsukg,8,https://i.scdn.co/image/ab67616d000048519e5e25f1b7df54f3a8d86ca2,Acoustic 1,4zITiC0X0q3WSfeJQpmRDv,6MjFd7ByRlJPIWfA257iqr,Acoustic 1,Single,2021-12-30,Hasna - Acoustic Version (01:40)/Kama toudine toudene - Acoustic Version (02:00)/Zeina - Acoustic Version (03:06)/Etoile filante - Acoustic Version (02:01)/Nouar - Acoustic Version (02:43)/Nostalger - Acoustic Version (01:45),https://i.scdn.co/image/ab67616d00001e029e5e25f1b7df54f3a8d86ca2,33.0,Algerian Folk
Djamel Laroussi,Kifach Hilti,1Z1NN24TDS878RUs5eUBYM,8,https://i.scdn.co/image/ab67616d00004851d17f01befca648045ea48134,3 Marabouts,6z1UrLrO0A7humLufb1XAD,6MjFd7ByRlJPIWfA257iqr,3 Marabouts,Album,2007-03-05,Ya Karimo (04:45)/Zeina (04:21)/Bambara (04:12)/Kakilambe (03:52)/Marhaba (03:16)/Mani Man (03:54)/Kifach Hilti (04:27)/Nadim (04:17)/Mamá Binette (04:52)/Goulou Lela (03:55)/Marabouts (04:38)/Laaroussa (03:11)/Nostalger (03:40),https://i.scdn.co/image/ab67616d00001e02d17f01befca648045ea48134,99.0,Algerian Folk
Djamel Laroussi,N'kodo,6oFoPSFMpkKDpvXk9cjeQ9,8,https://i.scdn.co/image/ab67616d00004851b7251cc41ee12a4188b3cf25,Etoile Filante,5pjy6ippr4lWwL3nay7van,6MjFd7ByRlJPIWfA257iqr,Etoile Filante,Album,2003-06-01,Etoile filante (03:04)/N'kodo (04:11)/Laafou (04:04)/Mazal (03:55)/Toumba (02:57)/Aho (04:32)/Maal Maa (03:25)/Koubaily (04:01)/Mani Man (03:54)/Hasna (03:31),https://i.scdn.co/image/ab67616d00001e02b7251cc41ee12a4188b3cf25,23.0,Algerian Folk
Donald Fagen,Green Flower Street,34fWcazka5WAgvsPg1ZKXU,9,https://i.scdn.co/image/ab67616d000048519c3be4e1c786475f9489529f,The Nightfly,5cOS6szqlcoqmiSoVTqqe8,0S1SjYebdSaiMpI8xSW2Wb,The Nightfly,Album,1982-10-29,I.G.Y. (06:03)/Green Flower Street (03:42)/Ruby Baby (05:39)/Maxine (03:49)/New Frontier (06:21)/The Nightfly (05:47)/The Goodbye Look (04:50)/Walk Between Raindrops (02:38),https://i.scdn.co/image/ab67616d00001e029c3be4e1c786475f9489529f,15.0,Sophisti-pop/Yacht Rock
Donald Fagen,I.G.Y.,6bzwsAtj4TqaBysLDrGiO3,9,https://i.scdn.co/image/ab67616d000048519c3be4e1c786475f9489529f,The Nightfly,5cOS6szqlcoqmiSoVTqqe8,0S1SjYebdSaiMpI8xSW2Wb,The Nightfly,Album,1982-10-29,I.G.Y. (06:03)/Green Flower Street (03:42)/Ruby Baby (05:39)/Maxine (03:49)/New Frontier (06:21)/The Nightfly (05:47)/The Goodbye Look (04:50)/Walk Between Raindrops (02:38),https://i.scdn.co/image/ab67616d00001e029c3be4e1c786475f9489529f,0.0,Sophisti-pop/Yacht Rock
Donald Fagen,Maxine,7fW59TD8pQRSobXp3BslSd,9,https://i.scdn.co/image/ab67616d000048519c3be4e1c786475f9489529f,The Nightfly,5cOS6szqlcoqmiSoVTqqe8,0S1SjYebdSaiMpI8xSW2Wb,The Nightfly,Album,1982-10-29,I.G.Y. (06:03)/Green Flower Street (03:42)/Ruby Baby (05:39)/Maxine (03:49)/New Frontier (06:21)/The Nightfly (05:47)/The Goodbye Look (04:50)/Walk Between Raindrops (02:38),https://i.scdn.co/image/ab67616d00001e029c3be4e1c786475f9489529f,61.0,Sophisti-pop/Yacht Rock
Donald Fagen,New Frontier,2HyrLPJTZ4qDpWJ6qnu0Ke,9,https://i.scdn.co/image/ab67616d000048519c3be4e1c786475f9489529f,The Nightfly,5cOS6szqlcoqmiSoVTqqe8,0S1SjYebdSaiMpI8xSW2Wb,The Nightfly,Album,1982-10-29,I.G.Y. (06:03)/Green Flower Street (03:42)/Ruby Baby (05:39)/Maxine (03:49)/New Frontier (06:21)/The Nightfly (05:47)/The Goodbye Look (04:50)/Walk Between Raindrops (02:38),https://i.scdn.co/image/ab67616d00001e029c3be4e1c786475f9489529f,76.0,Sophisti-pop/Yacht Rock
Donald Fagen,Ruby Baby,72mx4tVoM7knI9D20trABp,9,https://i.scdn.co/image/ab67616d000048519c3be4e1c786475f9489529f,The Nightfly,5cOS6szqlcoqmiSoVTqqe8,0S1SjYebdSaiMpI8xSW2Wb,The Nightfly,Album,1982-10-29,I.G.Y. (06:03)/Green Flower Street (03:42)/Ruby Baby (05:39)/Maxine (03:49)/New Frontier (06:21)/The Nightfly (05:47)/The Goodbye Look (04:50)/Walk Between Raindrops (02:38),https://i.scdn.co/image/ab67616d00001e029c3be4e1c786475f9489529f,43.0,Sophisti-pop/Yacht Rock
Donald Fagen,The Goodbye Look,3jAqtv3axuQ4lYz7v5h9MW,9,https://i.scdn.co/image/ab67616d000048519c3be4e1c786475f9489529f,The Nightfly,5cOS6szqlcoqmiSoVTqqe8,0S1SjYebdSaiMpI8xSW2Wb,The Nightfly,Album,1982-10-29,I.G.Y. (06:03)/Green Flower Street (03:42)/Ruby Baby (05:39)/Maxine (03:49)/New Frontier (06:21)/The Nightfly (05:47)/The Goodbye Look (04:50)/Walk Between Raindrops (02:38),https://i.scdn.co/image/ab67616d00001e029c3be4e1c786475f9489529f,118.0,Sophisti-pop/Yacht Rock
Donald Fagen,The Nightfly,7icC0mHYpROmIRhpa2DaFC,9,https://i.scdn.co/image/ab67616d000048519c3be4e1c786475f9489529f,The Nightfly,5cOS6szqlcoqmiSoVTqqe8,0S1SjYebdSaiMpI8xSW2Wb,The Nightfly,Album,1982-10-29,I.G.Y. (06:03)/Green Flower Street (03:42)/Ruby Baby (05:39)/Maxine (03:49)/New Frontier (06:21)/The Nightfly (05:47)/The Goodbye Look (04:50)/Walk Between Raindrops (02:38),https://i.scdn.co/image/ab67616d00001e029c3be4e1c786475f9489529f,97.0,Sophisti-pop/Yacht Rock
